Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : CONTAMANA
Departamento :,LORETO,Provincia :,UCAYALI,Distrito :,CONTAMANA
Latitud :,7°21'9.14'',Longitud :,75°0'22.75'',Altitud :,185 msnm.
Tipo :,EAMA - Meteorológica,Código :,47287402
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2026/04/04,00:00,24.8,S/D,96,S/D,0.0
2026/04/04,01:00,24.5,S/D,96,S/D,0.0
2026/04/04,02:00,24.4,S/D,97,S/D,0.0
2026/04/04,03:00,23.8,S/D,97,S/D,0.0
2026/04/04,04:00,22.9,S/D,97,S/D,0.0
2026/04/04,05:00,22.9,S/D,97,S/D,0.0
2026/04/04,06:00,22.8,S/D,97,S/D,0.0
2026/04/04,07:00,23.0,S/D,97,S/D,0.0
2026/04/04,08:00,24.0,S/D,94,S/D,0.0
2026/04/04,09:00,26.7,S/D,78,S/D,0.0
2026/04/04,10:00,27.9,S/D,75,S/D,0.0
2026/04/04,11:00,29.0,S/D,70,S/D,0.0
2026/04/04,12:00,29.8,S/D,70,S/D,0.0
2026/04/04,13:00,31.2,S/D,64,S/D,0.0
2026/04/04,14:00,31.7,S/D,64,S/D,0.0
2026/04/04,15:00,32.4,S/D,65,S/D,0.0
2026/04/04,16:00,33.0,S/D,57,S/D,0.0
2026/04/04,17:00,32.1,S/D,58,S/D,0.0
2026/04/04,18:00,27.7,S/D,75,S/D,0.0
