Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : EL MARONAL
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,CURIMANA
Latitud :,8°27'0'',Longitud :,75°5'48.5'',Altitud :,178 msnm.
Tipo :,CP - Meteorológica,Código :,108027
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2019-07-01,33.6,20.6,S/D,0.0
2019-07-02,31.8,18.6,S/D,0.0
2019-07-03,34,20.6,S/D,0.0
2019-07-04,33.4,21,S/D,0.0
2019-07-05,35.6,20.6,S/D,0.0
2019-07-06,31.6,18.6,S/D,1.5
2019-07-07,33.4,18.8,S/D,0.0
2019-07-08,33.8,18.6,S/D,0.0
2019-07-09,35.6,18.8,S/D,0.0
2019-07-10,33.4,20.8,S/D,0.0
2019-07-11,33.4,19.6,S/D,0.0
2019-07-12,33.8,20,S/D,0.0
2019-07-13,34.6,19.6,S/D,0.0
2019-07-14,34,18,S/D,0.0
2019-07-15,34.4,20,S/D,0.0
2019-07-16,34,20,S/D,0.0
2019-07-17,33.8,19.6,S/D,0.0
2019-07-18,34.6,21.6,S/D,0.0
2019-07-19,33.6,18.8,S/D,0.0
2019-07-20,34.4,20.6,S/D,0.0
2019-07-21,35.6,21.8,S/D,0.0
2019-07-22,33.8,20.6,S/D,0.0
2019-07-23,34.2,21.6,S/D,0.0
2019-07-24,35,22,S/D,0.0
2019-07-25,34.2,20,S/D,0.0
2019-07-26,34.6,19.6,S/D,0.0
2019-07-27,33.8,20,S/D,0.0
2019-07-28,32.6,19.6,S/D,0.0
2019-07-29,33.8,20.6,S/D,0.0
2019-07-30,34.2,20.4,S/D,0.0
2019-07-31,33.6,21,S/D,0.0
2019-08-01,33.6,21.6,S/D,0.0
