Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE INAMBARI
Departamento :,MADRE DE DIOS,Provincia :,MANU,Distrito :,HUEPETUHE
Latitud :,13°11'10.97'',Longitud :,70°23'2.44'',Altitud :,374 msnm.
Tipo :,HLM - Hidrológica,Código :,113251
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2021-10-27,8.820,8.820,8.820,8.820
2021-10-28,8.800,8.800,8.800,8.800
2021-10-29,8.900,8.900,8.960,8.960
2021-10-30,9.000,9.000,9.000,9.000
2021-10-31,9.100,9.100,9.100,9.100
